ID,Page,Visible Label,Component,Handler,State,API Call,Expected Behavior,Actual Behavior,Status
UI-0001,Global,Home (Logo),Header.jsx,onClick={() => setActivePage('home')},activePage='home',None,Navigates to 3D Cesium Digital Twin globe,Navigates to 3D Cesium Digital Twin globe,OPERATIONAL
UI-0002,Global,3D Globe (Nav Tab),Header.jsx,onClick={() => setActivePage('home')},activePage='home',None,Switches active view to 3D Globe,Switches active view to 3D Globe,OPERATIONAL
UI-0003,Global,Argo Network (Nav Tab),Header.jsx,onClick={() => setActivePage('argo')},activePage='argo',GET /api/v1/observations/argo,Navigates to 2D in-situ Argo profile network,Navigates to 2D in-situ Argo profile network,OPERATIONAL
UI-0004,Global,Model vs Obs (Nav Tab),Header.jsx,onClick={() => setActivePage('comparison')},activePage='comparison',GET /api/v1/comparison/profile,Navigates to 4D colocation validation workspace,Navigates to 4D colocation validation workspace,OPERATIONAL
UI-0005,Global,Analytics Studio (Nav Tab),Header.jsx,onClick={() => setActivePage('analytics')},activePage='analytics',GET /api/v1/model/timeseries,Navigates to multi-decadal reanalysis studio,Navigates to multi-decadal reanalysis studio,OPERATIONAL
UI-0006,Global,Data Catalog (Nav Tab),Header.jsx,onClick={() => setActivePage('data')},activePage='data',GET /api/v1/model/datasets,Navigates to open oceanographic datasets directory,Navigates to open oceanographic datasets directory,OPERATIONAL
UI-0007,Global,Methodology (Nav Tab),Header.jsx,onClick={() => setActivePage('methodology')},activePage='methodology',None,Navigates to scientific formulation and TEOS-10 documentation,Navigates to scientific documentation,OPERATIONAL
UI-0008,Global,Settings (Nav Tab),Header.jsx,onClick={() => setActivePage('settings')},activePage='settings',None,Navigates to application configuration and rendering settings,Navigates to application configuration,OPERATIONAL
UI-0009,Global,Coordinates (Nav Tab),Header.jsx,onClick={() => setActivePage('coordinates')},activePage='coordinates',None,Navigates to spatial coordinates calculator,Navigates to spatial coordinates calculator,OPERATIONAL
UI-0010,Global,Missions (Overlay Toggle),Header.jsx,toggleOverlay('missions'),activeOverlay='missions',None,Opens satellite observing missions drawer,Opens satellite observing missions drawer,OPERATIONAL
UI-0011,Global,Ocean Events (Overlay Toggle),Header.jsx,toggleOverlay('events'),activeOverlay='events',None,Opens extreme oceanographic events drawer,Opens extreme oceanographic events drawer,OPERATIONAL
UI-0012,Global,Workspaces (Overlay Toggle),Header.jsx,toggleOverlay('workspaces'),activeOverlay='workspaces',None,Opens preset camera and variable perspectives drawer,Opens preset camera perspectives drawer,OPERATIONAL
UI-0013,Global,Active Layer (Overlay Toggle),Header.jsx,toggleOverlay('layers'),activeOverlay='layers',None,Opens layer controls and visual styling drawer,Opens layer controls drawer,OPERATIONAL
UI-0014,Global,Search Coordinates (Button),Header.jsx,setIsGoToLocationOpen(true),isGoToLocationOpen=true,None,Opens Go-To coordinate navigation modal,Opens Go-To coordinate navigation modal,OPERATIONAL
UI-0015,Global,Diagnostics (Button),Header.jsx,toggleDiagnostics(),isDiagnosticsOpen=!isDiagnosticsOpen,GET /api/v1/health,Opens system telemetry and diagnostic drawer,Opens system telemetry drawer,OPERATIONAL
UI-0016,Global,Shortcuts (?) (Button),Header.jsx,toggleShortcutsModal(),isShortcutsOpen=!isShortcutsOpen,None,Opens keyboard shortcut legend modal,Opens keyboard shortcut legend modal,OPERATIONAL
UI-0017,Global,1318 Floats (Badge),Header.jsx,None (Static Display),None,None,Displays dynamic active float count,Displays hardcoded static text '1318 Floats',DEFECTIVE
UI-0018,Home / Globe,Reset North (Compass),GlobeControls.jsx,onClick={handleResetNorth},viewer.camera.flyTo,None,Resets camera heading to True North (0 deg),Resets camera heading to North via window.__godsEyeView,OPERATIONAL
UI-0019,Home / Globe,Planetary Overview (Home),GlobeControls.jsx,onClick={handleHome},viewer.camera.flyHome,None,Fits planetary camera overview centered on Earth,Fits planetary camera overview,OPERATIONAL
UI-0020,Home / Globe,Zoom In (+),GlobeControls.jsx,onClick={handleZoomIn},viewer.camera.zoomIn,None,Zooms camera inward by 35% of altitude,Zooms camera inward,OPERATIONAL
UI-0021,Home / Globe,Zoom Out (-),GlobeControls.jsx,onClick={handleZoomOut},viewer.camera.zoomOut,None,Zooms camera outward by 35% of altitude,Zooms camera outward,OPERATIONAL
UI-0022,Home / Globe,Target Indian Ocean (Crosshair),GlobeControls.jsx,onClick={handleLocate},triggerCameraAction('fit_indian_ocean'),None,Smoothly transitions camera to Indian Ocean basin,Smoothly transitions camera to Indian Ocean,OPERATIONAL
UI-0023,Global / Footer,Coordinate Readout (DMS),BottomStatusBar.jsx,onMouseMove,cursorCoords,None,"Renders cursor lat/lon in degrees, minutes, seconds",Renders DMS coordinates; handles rollover at 59.995s,OPERATIONAL
UI-0024,Global / Footer,Engine Indicator (Cesium/Three),BottomStatusBar.jsx,None,engineMode,None,Displays active 3D visualization engine badge,Displays active engine (Cesium / Three.js),OPERATIONAL
UI-0025,Global / Footer,FPS Telemetry,BottomStatusBar.jsx,requestAnimationFrame,fps,None,Displays live rendering frames per second,Displays live FPS counter (60 FPS),OPERATIONAL
UI-0026,Global / Footer,Network Latency Badge,BottomStatusBar.jsx,pingBackend(),backendLatencyMs,GET /api/v1/health,Displays round-trip HTTP ping to FastAPI backend,Displays backend latency in ms,OPERATIONAL
UI-0027,Global / Footer,Simulation Time Stamp,BottomStatusBar.jsx,None,currentTimeString,None,Displays simulated reanalysis timestamp,Displays formatted timestamp,OPERATIONAL
UI-0028,Home / Timeline,Play / Pause (Toggle),OceanTimeline.jsx,togglePlay(),isPlaying=!isPlaying,None,Starts/stops temporal animation loop,Toggles temporal animation loop,OPERATIONAL
UI-0029,Home / Timeline,Step Backward (Button),OceanTimeline.jsx,stepBackward(),"timeIndex = max(0, timeIndex-1)",GET /api/v1/model/volume,Steps simulation backward by 1 time step,Steps simulation backward by 1 time step,OPERATIONAL
UI-0030,Home / Timeline,Step Forward (Button),OceanTimeline.jsx,stepForward(),"timeIndex = min(max, timeIndex+1)",GET /api/v1/model/volume,Steps simulation forward by 1 time step,Steps simulation forward by 1 time step,OPERATIONAL
UI-0031,Home / Timeline,Timeline Slider (Range),OceanTimeline.jsx,onChange={(e) => setTimeIndex(e.target.value)},timeIndex,GET /api/v1/model/volume,Scrubs directly to chosen reanalysis time step,Scrubs time index and dispatches volume request,OPERATIONAL
UI-0032,Home / Timeline,Speed Selector (Dropdown),OceanTimeline.jsx,setPlaybackSpeed(speed),playbackSpeed,None,"Adjusts animation speed (1x, 2x, 5x)",Updates playback interval duration,OPERATIONAL
UI-0033,Home / Legend,Variable Switcher (Select),ColorbarLegend.jsx,onChange={(e) => setVariable(e.target.value)},variable,GET /api/v1/model/volume,Switches active physical scalar field (temp/salt/chl/ssh),Updates variable and requests new scalar volume,OPERATIONAL
UI-0034,Home / Legend,Colormap Gradient Bar,ColorbarLegend.jsx,onMouseMove (missing tooltip),colormap,None,Displays colormap gradient with interactive hover values,Displays static gradient bar without value tooltips,DEFECTIVE
UI-0035,Home / Legend,Min Range Indicator,ColorbarLegend.jsx,None,minVal,None,Displays scalar minimum bound,Displays scalar minimum bound,OPERATIONAL
UI-0036,Home / Legend,Max Range Indicator,ColorbarLegend.jsx,None,maxVal,None,Displays scalar maximum bound,Displays scalar maximum bound,OPERATIONAL
UI-0037,Home / Inspector,Inspect Float Profile (Button),SelectedFeaturePanel.jsx,onClick={openModal},isModalOpen=true,GET /api/v1/observations/argo/{wmo}/profile,Opens comprehensive Argo CTD profile modal,Opens Argo CTD profile modal with TEOS-10 data,OPERATIONAL
UI-0038,Home / Inspector,Close Inspector (Button),SelectedFeaturePanel.jsx,onClick={() => setSelectedEntity(null)},selectedEntity=null,None,Closes floating inspector card,Closes inspector card,OPERATIONAL
UI-0039,Home / Inspector,Compare in Workspace (Button),SelectedFeaturePanel.jsx,onClick={() => setActivePage('comparison')},activePage='comparison',None,Loads selected float into 4D Model vs Obs workspace,Navigates to comparison page with float selected,OPERATIONAL
UI-0040,Observation Modal,Close Modal (X Button),ObservationModal.jsx,onClick={closeModal},isModalOpen=false,None,Closes detailed observation modal,Closes modal dialog,OPERATIONAL
UI-0041,Observation Modal,Cycle Selector (Dropdown),ObservationModal.jsx,onChange={(e) => selectCycle(e.target.value)},selectedCycle,GET /api/v1/observations/argo/{wmo}/profile?cycle_number=N,Switches displayed CTD cycle profile,Fetches and renders CTD profile for chosen cycle,OPERATIONAL
UI-0042,Observation Modal,Variable Toggle (Temp / Sal / Density),ObservationModal.jsx,onClick={() => setVar(v)},activeVar,None,Toggles vertical profile parameter curve,Switches vertical depth curve plot,OPERATIONAL
UI-0043,Observation Modal,Upload In-Situ Data (Button),ObservationModal.jsx,onClick={() => fileInputRef.current.click()},uploadState,POST /api/v1/observations/upload-delimited,Uploads external CSV/TSV/ASCII CTD profile,Uploads delimited file; parses 4D vertical profile,OPERATIONAL
UI-0044,Observation Modal,Download NetCDF / JSON (Button),ObservationModal.jsx,onClick={downloadProfile},None,None,Downloads raw profile payload to client disk,Downloads formatted JSON profile data,OPERATIONAL
UI-0045,Home / Layers,Bathymetry Shading (Toggle),ActiveLayerPanel.jsx,toggleLayer('bathymetry'),layers.bathymetry,None,Toggles GEBCO high-resolution seabed bathymetry,Toggles bathymetry layer visibility,OPERATIONAL
UI-0046,Home / Layers,Surface Velocity Vectors (Toggle),ActiveLayerPanel.jsx,toggleLayer('currents'),layers.currents,None,Toggles animated horizontal current velocity vectors,Toggles surface velocity streamlines,OPERATIONAL
UI-0047,Home / Layers,Argo Float Markers (Toggle),ActiveLayerPanel.jsx,toggleLayer('argo'),layers.argo,None,"Toggles 1,317 Argo float point markers on globe",Toggles Cesium Argo entity collection visibility,OPERATIONAL
UI-0048,Home / Layers,Geographic Grid Lines (Toggle),ActiveLayerPanel.jsx,toggleGrid(),showGrid,None,Toggles graticule latitude/longitude lines,Toggles Cesium / Three.js grid lines,OPERATIONAL
UI-0049,Home / Layers,Depth Slice Plane (Toggle),ActiveLayerPanel.jsx,toggleLayer('depthSlice'),layers.depthSlice,None,Toggles horizontal clipping plane for depth slicing,Toggles depth slicing plane,OPERATIONAL
UI-0050,Diagnostics,Ping Backend (Button),DiagnosticsDrawer.jsx,onClick={pingBackend},backendLatencyMs,GET /api/v1/health,Sends health probe and updates latency readout,Sends health probe; updates latency,OPERATIONAL
UI-0051,Diagnostics,Clear Console Logs (Button),DiagnosticsDrawer.jsx,onClick={clearLogs},logs=[],None,Clears client diagnostic log window,Clears diagnostic logs list,OPERATIONAL
UI-0052,Diagnostics,Memory Heap Inspection (Button),DiagnosticsDrawer.jsx,onClick={inspectMemory},memoryUsage,None,Inspects JS heap memory allocation,Displays JS heap memory statistics,OPERATIONAL
UI-0053,Diagnostics,Close Diagnostics (Button),DiagnosticsDrawer.jsx,onClick={toggleDiagnostics},isDiagnosticsOpen=false,None,Closes slide-out diagnostics drawer,Closes diagnostics drawer,OPERATIONAL
UI-0054,Shortcuts Modal,Close Modal (Esc / Button),ShortcutsModal.jsx,onClick={toggleShortcutsModal},isShortcutsOpen=false,None,Closes shortcut helper dialog,Closes modal; repeated '?' key swallows focus,DEFECTIVE
UI-0055,Go-To Modal,Latitude Input (Number),GoToLocationModal.jsx,onChange={(e) => setLat(e.target.value)},targetLat,None,Accepts destination latitude (-90 to +90),Accepts numeric latitude value,OPERATIONAL
